wcat,wdog
-7.202784065157175064e-03,2.041075006127357483e-02
-1.698561944067478180e-02,-2.287339791655540466e-02
-2.106045559048652649e-02,-1.851454749703407288e-02
1.933045499026775360e-02,1.900278776884078979e-02
5.017492920160293579e-02,-9.172278642654418945e-02
-1.120879501104354858e-02,4.805680364370346069e-03
-8.853532373905181885e-03,1.360871456563472748e-02
-1.312409993261098862e-02,-1.823822781443595886e-02
7.790002971887588501e-03,2.130661858245730400e-03
5.079180467873811722e-03,6.418593693524599075e-03
-4.183059185743331909e-02,1.326967123895883560e-02
2.103835158050060272e-02,-1.512165926396846771e-02
1.163297798484563828e-03,-5.814951728098094463e-04
5.013323575258255005e-02,-8.440443873405456543e-02
7.823911495506763458e-03,-1.027193036861717701e-03
1.159983687102794647e-03,-1.325303036719560623e-02
1.576807349920272827e-02,-2.322969725355505943e-03
-1.113565987907350063e-03,2.432160638272762299e-02
6.362789776176214218e-03,1.855317875742912292e-02
-6.055444828234612942e-04,-3.892297390848398209e-03
-9.505037218332290649e-03,-1.149324513971805573e-02
-5.369337275624275208e-03,-6.164457648992538452e-03
1.196159888058900833e-02,2.609414048492908478e-03
6.083826883696019650e-04,-1.124785281717777252e-03
3.642800077795982361e-02,-4.162478726357221603e-03
3.397768735885620117e-02,-6.513379048556089401e-03
1.148699503391981125e-02,5.011917091906070709e-03
6.572541594505310059e-02,-6.861134618520736694e-02
-1.121812313795089722e-02,7.951958104968070984e-03
1.372209750115871429e-02,5.525166168808937073e-03
-2.024686150252819061e-02,-5.092389415949583054e-03
-2.158531919121742249e-02,4.904701933264732361e-02
2.968617016449570656e-03,3.340739384293556213e-02
-1.904415711760520935e-02,-1.877580024302005768e-02
-1.321817096322774887e-02,-7.609899621456861496e-04
1.416372973471879959e-02,-3.189794719219207764e-02
1.780675724148750305e-02,3.433394478633999825e-03
2.939613163471221924e-02,3.039741143584251404e-02
4.148802720010280609e-03,2.746419049799442291e-03
-1.297537796199321747e-02,-1.472332049161195755e-02
1.382901449687778950e-03,8.387244306504726410e-04
4.387702792882919312e-02,-7.486144546419382095e-03
2.986878680530935526e-04,2.889794064685702324e-03
2.612964017316699028e-03,1.354399509727954865e-02
-2.445052377879619598e-03,5.575052928179502487e-03
-3.297683782875537872e-03,-3.696864703670144081e-03
5.534514784812927246e-03,2.154893940314650536e-03
2.411700412631034851e-02,1.314437296241521835e-02
4.883153364062309265e-03,2.500206930562853813e-03
-2.690463885664939880e-02,-3.023080341517925262e-02
1.573251187801361084e-02,-1.912598684430122375e-02
-1.437753997743129730e-02,-1.986183598637580872e-02
9.062138199806213379e-02,-9.579612314701080322e-02
9.064414538443088531e-03,5.076956935226917267e-03
-1.564623415470123291e-02,1.099408138543367386e-02
-3.223943058401346207e-03,-8.137566968798637390e-03
2.322125434875488281e-02,2.108214609324932098e-02
2.147359773516654968e-02,2.201546728610992432e-02
